Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"שֵׁם","Shem","שֵׁם","పేరు","Name","Noun","H8034"
"בֵּן","Ben","בֵּן","కుమారుడు","Son","Noun","H1121"
"נֶפֶשׁ","Nephesh","נֶפֶשׁ","ప్రాణము/వ్యక్తి","Soul/Person","Noun","H5315"
"יָרֵךְ","Yarek","יָרֵךְ","తొడ/నడుము","Thigh/Loins","Noun","H3409"
"פָּרָה","Parah","פָּרָה","ఫలించు","To be fruitful","Verb","H6509"
"שָׁרַץ","Sharatz","שָׁרַץ","విస్తరించు/పాకు","To swarm/teem","Verb","H8317"
"רָבָה","Rabah","רָבָה","అభివృద్ధి చెందు","To multiply/increase","Verb","H7235"
"עָצַם","Atzam","עָצַם","బలపడు","To be mighty/strong","Verb","H6105"
"מָלֵא","Male","מָלֵא","నిండు","To be full/fill","Verb","H4390"
"מֶלֶךְ","Melekh","מָלֵךְ","రాజు","King","Noun","H4428"
"חָדָשׁ","Chadash","חָדָשׁ","కొత్త","New","Adjective","H2319"
"יָדַע","Yada","יָדַע","ఎరుగు/తెలుసుకొను","To know","Verb","H3045"
"חָכַם","Chakam","חָכַם","జ్ఞానము కలిగియుండు","To be wise/deal wisely","Verb","H2449"
"מִלְחָמָה","Milchamah","לָחַם","యుద్ధము","War","Noun","H4421"
"עָנָה","Anah","עָנָה","బాధించు/నలుగగొట్టు","To afflict/humble","Verb","H6031"
"סִבְלָה","Siblah","סָבַל","బరువు/శ్రమ","Burden/Hard labor","Noun","H5450"
"עִיר","Ir","עִיר","పట్టణము","City","Noun","H5892"
"פָּרַץ","Paratz","פָּרַץ","విస్తరించు/పగిలిపోవు","To break forth/spread","Verb","H6555"
"קוּץ","Kutz","קוּץ","అసహ్యించుకొను/భయపడు","To dread/abhor","Verb","H6973"
"פָּרֶךְ","Parek","פָּרֶךְ","కఠినత్వము","Rigor/Harshness","Noun","H6531"
"מָרַר","Marar","מָרַר","చేదు చేయు/దుఃఖపెట్టు","To embitter","Verb","H4843"
"עֲבֹדָה","Avodah","עָבַד","దాస్యము/పని","Service/Work/Labor","Noun","H5656"
"חֹמֶר","Chomer","חָמַר","జిగటమన్ను","Mortar/Clay","Noun","H2563"
"לְבֵנָה","Levenah","לָבַן","ఇటుక","Brick","Noun","H3843"
"יָלַד","Yalad","יָלַד","కను/ప్రసవించు","To bear/bring forth (Midwife context)","Verb","H3205"
"יָרֵא","Yare","יָרֵא","భయపడు","To fear/revere","Verb","H3372"
"יָטַב","Yatav","יָטַב","మేలు చేయు","To go well/deal well","Verb","H3190"
"בַּיִת","Bayit","בַּיִת","ఇల్లు/కుటుంబము","House/Household","Noun","H1004"
"יְאֹר","Yeor","יְאֹר","నది (నీలు నది)","River (The Nile)","Noun","H2975"
"חָיָה","Chayah","חָיָה","బ్రతికించు/జీవించు","To live/keep alive","Verb","H2421"
"אִישׁ","ish","אִישׁ","పురుషుడు","man","Noun","H376"
"בַּת","bat","בַּת","కుమార్తె","daughter","Noun","H1323"
"הָרָה","harah","הָרָה","గర్భము ధరించు","to conceive","Verb","H2029"
"יָלַד","yalad","יָלַד","కనుట/ప్రసవించు","to bear/give birth","Verb","H3205"
"טוֹב","tov","טוֹב","మంచి/అందమైన","good/fine","Adjective","H2896"
"תֵּבָה","tevah","תֵּבָה","పెట్టె/మందసము","ark/basket","Noun","H8392"
"יְאֹר","ye'or","יְאֹר","నది (నైలు)","river (the Nile)","Noun","H2975"
"רָחַץ","rachats","רָחַץ","స్నానము చేయు/కడుగు","to wash/bathe","Verb","H7364"
"חָמַל","chamal","חָמַל","కనికరించు/జాలిపడు","to pity/spare","Verb","H2550"
"עִבְרִי","ivri","עָבַר","హెబ్రీయుడు","Hebrew","Noun/Adjective","H5680"
"מֹשֶׁה","Mosheh","מָשָׁה","మోషే","Moses","Proper Noun","H4872"
"מָשָׁה","mashah","מָשָׁה","బయటకు తీయు","to draw out","Verb","H4871"
"סְבָלָה","sebalah","סָבַל","బరువు/శ్రమ","burden/hard labor","Noun","H5450"
"נָכָה","nakah","נָכָה","కొట్టుట/చంపుట","to strike/smite","Verb","H5221"
"יָרֵא","yare","יָרֵא","భయపడు","to fear","Verb","H3372"
"בְּאֵר","be'er","בָּאַר","బావి","well","Noun","H875"
"כֹּהֵן","kohen","כָּהַן","యాజకుడు","priest","Noun","H3548"
"דָּלָה","dalah","דָּלָה","నీళ్లు చేదుట","to draw water","Verb","H1802"
"רָעָה","ra'ah","רָעָה","మేపుట/గొర్రెల కాపరి","to shepherd/feed","Verb","H7462"
"יָשַׁע","yasha","יָשַׁע","రక్షించు/సహాయపడు","to save/help","Verb","H3467"
"גֵּר","ger","גּוּר","పరదేశి/అపరిచితుడు","sojourner/stranger","Noun","H1616"
"נָאַקָה","ne'aqah","נָאַק","నిట్టూర్పు/రోదన","groaning","Noun","H5009"
"זָכַר","zakhar","זָכַר","జ్ఞాపకము చేసికొను","to remember","Verb","H2142"
"בְּרִית","berit","בָּרָה","నిబంధన","covenant","Noun","H1285"
"מֹשֶׁה","Moshe","משה","మోషే","Moses","Proper Noun","H4872"
"רֹעֶה","Ro'eh","רעה","కాపరి","Shepherd / Feeding","Verb/Participle","H7462"
"צֹאן","Tson","צאן","మంద","Flock (sheep or goats)","Noun","H6629"
"מִדְבָּר","Midbar","דבר","అరణ్యము","Wilderness / Desert","Noun","H4057"
"הַר","Har","הרר","పర్వతము","Mountain","Noun","H2022"
"מַלְאַךְ","Mal'akh","לאך","దూత","Angel / Messenger","Noun","H4397"
"אֵשׁ","Esh","אשש","అగ్ని","Fire","Noun","H784"
"סְנֶה","Seneh","סנה","పొద","Bush / Bramble","Noun","H5572"
"בֹּעֵר","Bo'er","בער","మండుచున్న","Burning","Verb/Participle","H1197"
"נַעַל","Na'al","נעל","చెప్పు","Sandal / Shoe","Noun","H5275"
"קֹדֶשׁ","Qodesh","קדש","పరిశుద్ధము","Holy / Set apart","Noun/Adjective","H6944"
"עֳנִי","'Oni","ענה","శ్రమ / బాధ","Affliction / Misery","Noun","H6040"
"צְעָקָה","Tse'aqah","צעק","మొర / అరుపు","Cry / Outcry","Noun","H6818"
"נָצַל","Natsal","נצל","విడిపించుట","To deliver / rescue","Verb","H5337"
"חָלָב","Chalab","חלב","పాలు","Milk","Noun","H2461"
"דְּבַשׁ","Debash","דבש","తేనె","Honey","Noun","H1706"
"אֶהְיֶה","Ehyeh","היה","నేను ఉన్నవాడను","I AM / I will be","Verb","H1961"
"זֵכֶר","Zeker","זכר","జ్ఞాపకార్థము","Memorial / Remembrance","Noun","H2143"
"פֶּלֶא","Pele","פלא","అద్భుతము","Wonder / Marvel","Noun","H6382"
"שִׂמְלָה","Simlah","שמל","వస్త్రము","Garment / Clothing","Noun","H8071"
"מַטֶּה","matteh","נטה","కర్ర","staff or rod","Noun","H4294"
"נָחָשׁ","nachash","נחש","పాము","serpent or snake","Noun","H5175"
"אוֹת","'ot","אות","సూచక క్రియ","sign or token","Noun","H226"
"פֶּה","peh","פהה","నోరు","mouth","Noun","H6310"
"לָשׁוֹן","lashon","לשן","నాలుక","tongue","Noun","H3956"
"בְּכֹר","bekhor","בכר","తొలిచూలు","firstborn","Noun","H1060"
"דָּם","dam","דם","రక్తము","blood","Noun","H1818"
"חָתָן","chatan","חתן","పెళ్లికుమారుడు","bridegroom","Noun","H2860"
"צָרַעַת","tsara'at","צרע","కుష్టు వ్యాధి","leprosy","Noun","H6883"
"אִלֵּם","'illem","אלם","మూగవాడు","mute or dumb","Adjective","H483"
"חֵרֵשׁ","cheresh","חרש","చెవిటివాడు","deaf","Adjective","H2795"
"פִּקֵּחַ","piqqeach","פקח","దృష్టిగలవాడు","seeing or sighted","Adjective","H6493"
"עִוֵּר","'ivver","עור","గ్రుడ్డివాడు","blind","Adjective","H5787"
"שָׁלַח","shalach","שלח","పంపుట","to send","Verb","H7971"
"אָמַן","'aman","אמן","నమ్ము","to believe or trust","Verb","H539"
"אָמַר","'amar","אָמַר","చెప్పుట","to say","Verb","H559"
"שָׁלַח","shalach","שָׁלַח","పంపించుట / విడిచిపెట్టుట","to send / let go","Verb","H7971"
"עַם","'am","עָמַם","ప్రజలు","people","Noun","H5971"
"שָׁמַע","shama'","שָׁמַע","వినుట / లోబడుట","to hear / obey","Verb","H8085"
"יָדַע","yada'","יָדַע","ఎరుగుట","to know","Verb","H3045"
"מִדְבָּר","midbar","דָּבַר","అరణ్యము","wilderness / desert","Noun","H4057"
"חַג","chag","חָגַג","పండుగ","feast / festival","Noun","H2282"
"זָבַח","zavach","זָבַח","బలి అర్పించుట","to sacrifice","Verb","H2076"
"עֲבוֹדָה","'avodah","עָבַד","పని / దాస్యము","work / labor / service","Noun","H5656"
"פָּרַע","para'","פָּרַע","నిరుత్సాహపరచుట / విడిపించుట","to let loose / distract","Verb","H6544"
"תֶּבֶן","teven","תֶּבֶן","గడ్డి / పొట్టు","straw / stubble","Noun","H8401"
"לְבֵנָה","levenah","לָבַן","ఇటుక","brick","Noun","H3843"
"נֹגֵשׂ","noges","נָגַשׂ","అధికారి / బాధించువాడు","taskmaster / oppressor","Noun","H5065"
"שֹׁטֵר","shoter","שֹׁטֵר","అధికారి / లేఖకుడు","officer / official","Noun","H7860"
"רָפָה","raphah","רָפָה","సోమరి / బద్ధకస్తుడు","lazy / idle / slack","Adjective","H7503"
"יְהוָֹה","Yahweh","היה","యెహోవా","The LORD / Jehovah","Proper Noun","H3068"
"יָד","yad","יָד","చేయి","hand","Noun","H3027"
"חָזָק","chazaq","חָזַק","బలమైన","strong / mighty","Adjective","H2389"
"בְּרִית","berit","בָּרָה","నిబంధన","covenant","Noun","H1285"
"גָאַל","ga'al","גָאַל","విమోచించుట","to redeem","Verb","H1350"
"זְרוֹעַ","zeroa'","זָרַע","బాహువు","arm / strength","Noun","H2220"
