dayOfYear,questionId,question,option1,option2,option3,option4,correctAnswer,reference
1,1,Who was the first man created by God?,Adam,Eve,Noah,Abraham,0,Genesis 1:27
1,2,What is the first book of the Bible?,Exodus,Genesis,Matthew,Psalms,1,Bible
1,3,How many days did God take to create the world?,5,6,7,10,1,Genesis 1-2
1,4,What did God create on the first day?,Light,Water,Animals,Plants,0,Genesis 1:3
1,5,Who was created from Adam's rib?,Sarah,Eve,Ruth,Mary,1,Genesis 2:22
1,6,What fruit did Eve eat in the garden?,Apple,Fig,Pomegranate,The Bible doesn't specify,3,Genesis 3
1,7,What was the first sin?,Murder,Lying,Disobedience,Theft,2,Genesis 3
1,8,Who were Adam and Eve's first two sons?,Jacob and Esau,Cain and Abel,Isaac and Ishmael,Moses and Aaron,1,Genesis 4
1,9,Who killed his brother out of jealousy?,Abel,Cain,Jacob,Joseph,1,Genesis 4:8
1,10,How long did Methuselah live?,800 years,900 years,969 years,1000 years,2,Genesis 5:27
1,11,Why did God send the flood?,People were wicked,Too many animals,Drought,Natural disaster,0,Genesis 6
1,12,How many people were saved in Noah's ark?,2,4,8,12,2,Genesis 7:13
1,13,What was the sign of God's promise after the flood?,Star,Rainbow,Cloud,Thunder,1,Genesis 9:13
1,14,Who built the Tower of Babel?,Noah,Abraham,People of Babel,Moses,2,Genesis 11
1,15,Why did God confuse languages at Babel?,To punish sin,To scatter people,Both A and B,Neither,2,Genesis 11
1,16,Where was Abraham originally from?,Egypt,Canaan,Ur,Babylon,2,Genesis 11:31
1,17,Who was Abraham's wife?,Rachel,Sarah,Leah,Rebekah,1,Genesis 11:29
1,18,What did God promise Abraham?,Land and descendants,Gold,Power,Peace,0,Genesis 12
1,19,How old was Sarah when Isaac was born?,70,80,90,100,2,Genesis 17:17
1,20,Who was the son of promise to Abraham?,Ishmael,Isaac,Jacob,Joseph,1,Genesis 21:1-3
2,21,Who was Ishmael's mother?,Sarah,Hagar,Leah,Rachel,1,Genesis 16
2,22,What did God ask Abraham to sacrifice?,A lamb,His son Isaac,His wealth,His land,1,Genesis 22
2,23,Who found a wife for Isaac?,Abraham,His servant,Isaac himself,God,1,Genesis 24
2,24,Who was Isaac's wife?,Leah,Rachel,Rebekah,Sarah,2,Genesis 24
2,25,How many sons did Isaac have?,1,2,3,12,1,Genesis 25
2,26,Who sold his birthright for soup?,Jacob,Esau,Joseph,Reuben,1,Genesis 25:33
2,27,Who deceived Isaac to get the blessing?,Rachel,Rebekah,Jacob,Leah,2,Genesis 27
2,28,What did Jacob see in his dream?,Angels,Ladder to heaven,Stars,Fire,1,Genesis 28:12
2,29,How many years did Jacob work for Rachel?,7,14,7+7=14,21,2,Genesis 29
2,30,How many sons did Jacob have?,10,12,14,7,1,Genesis 35
2,31,Which son did Jacob love most?,Reuben,Judah,Joseph,Benjamin,2,Genesis 37:3
2,32,What did Joseph's brothers do to him?,Killed him,Sold him as slave,Left him in wilderness,Forgave him,1,Genesis 37
2,33,Who bought Joseph in Egypt?,Pharaoh,Potiphar,Egyptian priest,Merchant,1,Genesis 39:1
2,34,Why was Joseph put in prison?,He stole,False accusation,He killed,He lied,1,Genesis 39
2,35,What could Joseph interpret?,Laws,Dreams,Languages,Weather,1,Genesis 40
2,36,Who had dreams that Joseph interpreted?,Pharaoh,Potiphar,Baker and cupbearer,His brothers,2,Genesis 40
2,37,What was Pharaoh's dream about?,War,7 years plenty and 7 famine,Flood,Stars,1,Genesis 41
2,38,What position did Joseph get in Egypt?,Slave,Prisoner,Second in command,Pharaoh,2,Genesis 41:40
2,39,Why did Joseph's brothers come to Egypt?,To visit,To buy food,To work,To escape,1,Genesis 42
2,40,Did Joseph forgive his brothers?,Yes,No,Partially,Eventually,0,Genesis 45
3,41,Who was the baby placed in the Nile?,Joseph,Moses,Aaron,Joshua,1,Exodus 2:3
3,42,Who found baby Moses?,Egyptian princess,Hebrew midwife,Moses' mother,Pharaoh,0,Exodus 2:5
3,43,Where did Moses flee after killing an Egyptian?,Canaan,Midian,Egypt,Sinai,1,Exodus 2:15
3,44,What did Moses see that burned but was not consumed?,Tree,Bush,Mountain,Tent,1,Exodus 3:2
3,45,What was God's name revealed to Moses?,Yahweh,Elohim,I AM,Adonai,2,Exodus 3:14
3,46,How many plagues did God send on Egypt?,7,10,12,5,1,Exodus 7-12
3,47,What was the last plague?,Locusts,Darkness,Death of firstborn,Frogs,2,Exodus 12
3,48,What did Israelites do on Passover?,Fast,Sacrifice lamb and mark doors,Dance,Sleep,1,Exodus 12
3,49,What parted for the Israelites to cross?,Jordan River,Red Sea,Nile River,Ocean,1,Exodus 14
3,50,How long did Israelites wander in wilderness?,10 years,20 years,40 years,70 years,2,Numbers 14:33
3,51,Where did Moses receive the Ten Commandments?,Mount Carmel,Mount Sinai,Mount Zion,Mount Nebo,1,Exodus 19-20
3,52,What did Israelites worship while Moses was on the mountain?,Golden calf,Sun,Moon,Stars,0,Exodus 32
3,53,What did manna taste like?,Bread,Honey wafers,Meat,Fruit,1,Exodus 16:31
3,54,What came up to feed Israelites in the evening?,Fish,Quail,Locusts,Deer,1,Numbers 11:31
3,55,How many spies were sent to Canaan?,2,10,12,7,2,Numbers 13
3,56,Who were the two faithful spies?,Moses and Aaron,Joshua and Caleb,Reuben and Judah,None,1,Numbers 14:6
3,57,Who succeeded Moses as leader?,Aaron,Joshua,Caleb,Eleazar,1,Deuteronomy 34:9
3,58,What river did Israel cross into Canaan?,Nile,Jordan,Euphrates,Red Sea,1,Joshua 3
3,59,What city walls fell after Israel marched around it?,Jerusalem,Ai,Jericho,Bethel,2,Joshua 6
3,60,Who was saved from Jericho for hiding the spies?,Ruth,Rahab,Deborah,Esther,1,Joshua 6:25
4,61,Who was the first king of Israel?,David,Saul,Solomon,Samuel,1,1 Samuel 10
4,62,Who anointed Saul as king?,Eli,Samuel,Nathan,David,1,1 Samuel 10
